post_id,职位名称,职位类别,工作地点,事业群/部门,产品线,工作年限,更新时间,详情链接,国家,公司代码,公司名称,来源页,职责描述,岗位要求,招聘类型,学历要求,岗位状态,英文职位名,邮箱投递
2031623186457718784,《王者荣耀》-游戏运营-社区运营方向,产品,成都,IEG,王者荣耀,不限,2026年03月11日,http://careers.tencent.com/jobdesc.html?postId=2031623186457718784,中国,,,https://careers.tencent.com/search.html,"1.负责王者荣耀社区KOC运营相关工作，挖掘、引入并维系潜力KOC，分内容赛道为KOC制定个性化合作策略、成长路径和激励方案；
2.负责王者社区KOC生态与氛围营造，精准捕捉社区热点、玩家情绪，引导KOC为社区产出高质量内容，打造活跃、积极、有梗的社区氛围；
3.紧跟游戏版更或社区热点，独立策划并产出富有创意的社区内容，激发玩家二创与传播意愿。","1.热爱游戏，对MOBA产品有深度理解，对王者荣耀体验深入；
2.熟悉主流社区，对互联网社区文化、流行梗、玩家黑话有深刻理解和敏锐嗅觉，能预判热点趋势；
3.拥有1年以上KOL/KOC发掘、对接、维护及效果评估的完整项目经验，熟悉不同平台达人的生态与玩法；
4.善于沟通表达，合作至上，有极强的责任心和抗压能力。",,,,,
2031614062714056704,雪中悍刀行-资深游戏特效设计师,设计,广州,IEG,雪中悍刀行-端手互通,五年以上工作经验,2026年03月11日,http://careers.tencent.com/jobdesc.html?postId=2031614062714056704,中国,,,https://careers.tencent.com/search.html,"1.负责不同类型如场景，角色，怪物，道具，UE5引擎内的特效制作；
2.负责游戏中的特效品质的审核修改及外包团队的培养，与团队成员一起解决技术难题和其他挑战；
3.负责梳理特效模块制作流程，优化和提升特效团队的制作效率；
4.具有手绘特效设计稿能力者/houdini熟练使用者优先；
5.与动画，策划，程序进行良好的沟通和对接，对项目推进中遇到的问题进行汇总归纳并及时处理。","1.5年以上相关工作经验；
2.具备良好审美，特效设计有自己的想法；
3.能熟练使用UE5进行特效制作；
4.熟练使用Niagara编写特效所需材质以及Niagara Module脚本；
5.有很好的学习能力，有扎实的美术功底；对动作类/魂系游戏特效有一定研究；
6.熟悉shader，在技术选型和设计方案制定上有准确判断；
7.对编辑器中的特效资源能做到规范的整合，有良好的沟通能力，与技术人员一起优化和完善特效资源，在保证美术效果的前提下，尽可能降低性能消耗；
8.追求卓越，有创新精神，具有较强的抗压能力，注重团队协作。",,,,,
2031204557127839744,雪中悍刀行-资深游戏客户端开发,技术,广州,IEG,雪中悍刀行-端手互通,三年以上工作经验,2026年03月11日,http://careers.tencent.com/jobdesc.html?postId=2031204557127839744,中国,,,https://careers.tencent.com/search.html,"1.负责游戏核心体验、战斗模块相关的开发工作；
2.协助策划美术打磨核心体验；
3.负责相关制作流程的优化工作。","1.3年以上游戏开发经验，有完整上线项目经验，熟悉UE引擎；
2.熟练运用C/C++，具备扎实的数学、数据结构和算法基础，熟悉常用设计模式；
3.在动画/3C/移动/技能/网络同步等方面至少有一个方向有深入研究和模块设计开发经验；
4.认真负责的工作态度和良好的沟通能力；
5.具有丰富的游戏经验，较强的产品意识，对游戏体验有追求。",,,,,
2031050980484870144,微信小游戏-平台产品经理-全球化,产品,深圳,WXG,小游戏,三年以上工作经验,2026年03月10日,http://careers.tencent.com/jobdesc.html?postId=2031050980484870144,中国,,,https://careers.tencent.com/search.html,"1.搭建小游戏出海相关平台能力，包括但不限于框架体验、商业组件、本地化适配等；
2.根据不同的地区市场与平台受众，输出小游戏批量出海运营方案，构建提升新进、复访的场景方案；
3.协同内外部合作方，拆解转化链路、理解用户需求，完善相关平台能力驱动增长；
4.协同多部门研发团队，持续迭代广告/支付/开发者工具等能力，保障项目按期落地与结果达成。","1.三年以上海外游戏或海外平台相关经验，有小游戏研发/运营/平台经验者优先；
2.能够主动发现问题并探究本质，拥有突出的逻辑思维与执行力，擅长协作沟通；
3.热爱游戏，有丰富的游戏阅历，能站在游戏用户视角理解现象；
4.有海外合作资源或经验、能够有效拓展合作渠道加分；
5.具备英文沟通能力，有海外留学/生活/工作背景加分。",,,,,
2028429540103192576,《王者荣耀》国际版-游戏客户端开发,技术,深圳,IEG,王者荣耀海外版,不限,2026年03月09日,http://careers.tencent.com/jobdesc.html?postId=2028429540103192576,中国,,,https://careers.tencent.com/search.html,"1.负责游戏系统及玩法内容的研发；
2.负责各类渲染管线问题跟进，渲染性能分析与优化；
3.负责重构和优化现有系统，优化工作流程，提高研发效率；
4.负责制作工具的开发，实现快速迭代及验证制作内容。","1.本科及以上学历，计算机相关专业，编程基础扎实、熟悉算法和数据结构；
2.有一定Unity使用经验，熟悉Unity常用组件；
3.熟悉计算图形学、有opengl、shader编程经验；
4.责任心强，善于沟通，对游戏前沿技术有热情；
5.有移动游戏优化经验，掌握移动端图形优化技巧优先。",,,,,
2028429538001846272,《王者荣耀》国际版-游戏客户端开发,技术,深圳,IEG,王者荣耀海外版,一年以上工作经验,2026年03月09日,http://careers.tencent.com/jobdesc.html?postId=2028429538001846272,中国,,,https://careers.tencent.com/search.html,"1.负责Moba游戏内核心玩法系统的架构与实现，英雄开发、战场逻辑开发；
2.与策划紧密配合，将复杂的游戏规则与数值逻辑转化为稳定、可扩展的代码实现；
3.参与性能优化，解决由复杂业务逻辑引发的性能问题。","1.计算机相关专业本科及以上学历，1年以上游戏开发经验；
2.熟练掌握C++、C#开发语言，具备良好的系统设计能力；
3.逻辑清晰，具备优秀的问题解决能力，能将抽象需求转化为可靠技术方案。",,,,,
2029911059502100480,3A级开放世界-游戏资深剧情主笔,产品,杭州,IEG,公共,五年以上工作经验,2026年03月09日,http://careers.tencent.com/jobdesc.html?postId=2029911059502100480,中国,,,https://careers.tencent.com/search.html,"1.进行原创IP的剧情设计和世界观架构；
2.输出和打磨台本，并进行台本的润色与监修；
3.输出角色设计、场景设计文档并跟进美术制作；
4.负责与关卡配合完成整体关卡叙事设计与落地。","1.具备5年以上游戏文案策划经验，有从游戏研发到上线的完整项目经历，对世界观构建、传统剧作（叙事结构，角色，主题、分镜脚本等）、游戏叙事设计（系统，叙事工具等）、叙事呈现手法（音视频及多媒体交互等）、内容制作落地有深刻理解；
2.具有优秀的文案功底，较强的台本设计能力，擅长奇幻和日常温馨风格题材的撰写和创作，对东西方文化及相关的游戏、影视、文学、历史有兴趣和深入研究者优先；
3.有丰富的游戏经历，有丰富的开放世界游戏和RPG类游戏深入体验，至少有2款深入研究；
4.良好的沟通协作与表达能力，能够与美术、中台等岗位紧密合作，积极主动推进工作；
5.具有良好的画面审美和文学鉴赏能力。",,,,,
2018228978132877312,3A级开放世界-游戏视频导演（综合）,设计,杭州,IEG,HI-端游-海外版,三年以上工作经验,2026年03月09日,http://careers.tencent.com/jobdesc.html?postId=2018228978132877312,中国,,,https://careers.tencent.com/search.html,"1.负责在项目明确游戏视听需求后能自行分解项目工作和制定项目排期计划，确保按计划完成制作目标；
2.负责游戏内剧情过场、展示动画和PV的创意脚本攥写，分镜绘制或Previs制作，输出清晰的前期方案给到后续环节生产指引；
3.负责在生产过程中把控内部及供应商团队工作，能输出专业清晰的反馈文档或直接自行制作解决核心卡点，确保项目有效推进和内容高品质落地；
4.与策划、美术及其他职能团队协作共同完成游戏内容创作，并能在过程中给到专业的视听方向建议帮助提升游戏整体视听表现；
5.参与项目游戏剧情过场及实机PV的生产管线搭建及维护更新，确保项目能够稳定、保质且高效的产出相应内容。","1.游戏、影视相关专业出生，热爱游戏、动画和电影，对内容创作有很高的热情，有较大的脑洞和创意思维，有个人独立作品；
2.五年或以上游戏导演工作经验，熟悉游戏研发及宣发工作内容，对自己专业工作和作品有较高追求，有AAA游戏项目经验者优先；
3.有较强的设计能力，美术功底和审美，能够独立制作前期文字脚本、分镜或Previs，在关键卡点能够直接参与制作确立标准并帮助工作高效推进；
4.对游戏行业的新内容和新技术有较高的敏感度，能积极主动学习并应用于项目中，能熟练运用AI工具流程进行创作者优先；
5.熟悉UE5引擎，具备UE5视频内容全流程制作能力者优先，能够保证创意从纸面设计到引擎落地的高品质呈现并能自己动手解决相关问题；
6.有强责任心、良好的抗压能力和目标导向，在项目遇到卡点时能够针对问题有效沟通并正向的推进项目工作和卡点解决；
7.心态积极乐观，善于沟通，能与项目多方职能团队进行高效协作。",,,,,
2009153665629310976,腾讯游戏-部门秘书-新星引力计划,行政支持,深圳,IEG,公共,一年以上工作经验,2026年03月09日,http://careers.tencent.com/jobdesc.html?postId=2009153665629310976,中国,,,https://careers.tencent.com/search.html,"1.支持部门经理工作，包括日程管理、差旅安排、会议组织和客户接待，协助上级做好部门管理及团队融合；
2.担任部门内各项行政人事工作接口人，包括人事、采购、考勤、资产、费用、合同管理等，统筹管理相关事务，优化工作流程等；
3.及时传达公司下发的相关规定，并协助执行；
4.协助制定部门管理体系并实施部门的管理规章制度及各项流程；
5.组织活动和文化落地，活跃部门组织氛围。","1.大学本科及以上学历，1-3年秘书/行政相关工作经验，有团队管理经验者优先；
2.外语能力六级以上，具备流利的商务英语听说能力；
3.工作及时高效，抗压性强，时间管理意识、商务接待能力强；
4.工作例行化程度高，做事清晰有条理，善于总结陈述；
5.备优秀的服务意识、高度责任感及团队合作精神，具有全局观及项目预见性、前瞻意识；
6.熟练运用各种日常办公软件及办公设备，具备良好的资源协调能力，能独立组织大型团队活动并有创新意识；
7.有良好的情绪管理能力,为人正直，处事公正，亲和力好，形象气质佳。",,,,,
2026925221386285056,《无畏契约》-游戏运营-数据分析方向,产品,深圳,IEG,CodeV-手游APP,三年以上工作经验,2026年03月09日,http://careers.tencent.com/jobdesc.html?postId=2026925221386285056,中国,,,https://careers.tencent.com/search.html,"1.统筹并输出周期性战略报告与业务汇报材料，将复杂数据与业务逻辑转化为高质量的可视化呈现；
2.基于业务诉求独立完成数据处理与多维度分析，快速输出具有业务指导意义的结论与报告；
3.负责日常项目管理与流程机制建设，把控多线程任务进度，保障团队业务有序运转；
4.协助梳理协作流程与标准，沉淀项目管理经验，提升中台运转效能。","1.热爱游戏，具备数据分析、项目管理或游戏运营相关经验者优先；
2.数据意识强，熟练掌握 Excel 及主流数据分析与可视化工具，具备敏锐的数据嗅觉与判断力；
3.具备优秀的结构化思维与沟通表达能力，擅长 PPT 制作，能清晰精准地传递业务诉求与结论；
4.具备极强的计划性与执行力，擅长 Multi-tasking，能强力推进跨模块/跨团队协作落地；
5.自驱力强，具备高度的责任感和抗压能力，能够在快速变化的环境中保持工作条理。",,,,,
